ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
1002510	120	W	10	77		R3.83	3.337	37.783419	-121.243875	.492	ML	2	W/O Union Ave				
1002610	120	W	10	77		R3.338	2.845	37.783364	-121.253884	.558	ML	2	 Airport Way OC				
1002710	120	W	10	77		R2.713	2.22	37.783634	-121.26458	.539	ML	2	W/O Airport Way				
1002810	120	W	10	77		R2.258	1.765	37.785265	-121.271104	.474	ML	2	McKinley Ave UC				
1002910	120	W	10	77		R1.766	1.273	37.787484	-121.27953	.492	ML	2	Wyche OH				
1003010	120	W	10	77		R1.273	.78	37.78984	-121.288537	.423	ML	2	W/O Yosemite Ave				
1003110	120	W	10	77		R0.918	.425	37.790322	-121.295215	.18	ML	2	E/O Jct Rte NB I-5				
1003210	120	W	10	77		R0.544	.051	37.789035	-121.301075	.236	ML	2	W/O Jct Rte NB I-5				
1003310	120	W	10	77		R0.493	0	37.78882	-121.30186	.025	ML	2	N/O Jct Rte SB I-5				
1003410	5	S	10	77	40704	R13.717	459.209	37.777888	-121.317326	.399	ML	5	S/O Mossdale Rd				
1003510	5	S	10	77	40704	R13.225	458.717	37.773041	-121.323965	.492	ML	5	S/O Manthey Rd				
1003610	5	S	10	77		R12.732	458.224	37.768233	-121.330577	2.747	ML	5	S/O  Paradise Cut				
1003710	120	E	10	77		R5.05	4.557	37.783207	-121.220602	.266	ML	2	W/O Main St				
1003810	120	E	10	77		R5.310	4.817	37.783238	-121.215855	.505	ML	2	E/O Main St				
1003910	120	E	10	77		R6.06	5.567	37.78324	-121.201959	2.875	ML	2	E/O Main St				
1004010	99	N	10	47		R37.22	210.67	37.462866	-120.820823	.684	ML	3	N/O Griffith Rd OC				
1004110	99	N	10	99		R0.16	210.912	37.464414	-120.824802	.237	ML	3	Turlock Rest Stop				
1004210	99	N	10	99		R0.41	211.162	37.466076	-120.828893	.25	ML	3	Turlock Rest Stop				
1004310	99	N	10	99		R0.66	211.412	37.467701	-120.833017	2.34	ML	3	N/O Golf Rd OC				
1004410	120	E	10	77		R4.777	4.284	37.783179	-121.225583	.364	ML	2	W/O Main St				
1004510	120	E	10	77		R4.323	3.83	37.783152	-121.233897	1.931	ML	2	 Union Rd OC				
1005010	99	N	10	99	48354	16.29	227.35	37.640971	-121.008769	3.254	ML	3	Maze Blvd				
1005110	99	S	10	99	48354	16.29	227.325	37.640802	-121.008995	3.255	ML	3	Maze Blvd				
1005210	99	N	10	99		24.272	235.332	37.726012	-121.103319	1.561	ML	3	Hammett Rd				
1005310	99	S	10	99		24.272	235.307	37.725858	-121.103515	1.434	ML	3	Hammett Rd				
1005410	4	E	10	77	75000	R15.72	64.663	37.946427	-121.306369	1.588	CH	4	W/O I-5				
1005510	4	W	10	77	75000	R15.72	64.663	37.946665	-121.306517	1.588	CH	4	W/O I-5				
1005610	4	E	10	77	75000	R16.50	65.443	37.94951	-121.292663	3.103	ML	3	E/O I-5				
1005710	4	W	10	77	75000	R16.50	65.443	37.949769	-121.29275	3.103	ML	3	E/O I-5				
1005810	4	E	10	77	75000	R17.706	66.649	37.953206	-121.270989	3.103	ML	4	W/O Wilson Way				
1005910	4	W	10	77	75000	R17.706	66.649	37.953475	-121.271075	3.103	ML	4	W/O Wilson Way				
1006010	99	N	10	77	61026	3.15	238.96	37.759129	-121.154332	1.266	ML	3	Jack Tone Rd				
1006110	99	S	10	77	61026	3.15	238.935	37.758889	-121.15436	.533	ML	3	Jack Tone Rd				
1006210	99	N	10	77		1.71	237.52	37.746753	-121.133332	.233	ML	3	Milgeo Ave				
1006310	99	S	10	77	61026	1.71	237.495	37.746588	-121.133409	1.78	ML	3	Milgeo Ave				
1006410	99	N	10	77		29.1	264.91	38.110419	-121.259034	2.259	ML	3	South Lodi OC				
1006510	99	S	10	77		29.1	264.885	38.110432	-121.259226	2.28	ML	2	South Lodi OC				
1006610	99	N	10	77		32.5	268.31	38.159109	-121.2616	.685	ML	2	Woodbridge Rd OC				
1006710	99	S	10	77		32.5	268.285	38.15911	-121.261845	1.04	ML	2	Woodbridge Rd OC				
1006810	99	N	10	47		R34.8	208.25	37.440964	-120.787144	.255	ML	2	Shanks Rd				
1006910	99	S	10	47		R34.8	208.225	37.440801	-120.787495	.303	ML	2	Shanks Rd				
1007010	99	N	10	47		31.296	204.642	37.401831	-120.744736	.424	ML	2	Merced River				
1007110	99	S	10	47		31.296	204.617	37.401662	-120.745076	.476	ML	2	Merced River				
1007210	5	N	10	77	75000	26.97	472.462	37.954883	-121.312308	.614	ML	4	Pershing Ave				
1007310	5	S	10	77	75000	26.97	472.462	37.954641	-121.312366	.311	ML	4	Pershing Ave				
1007510	5	S	10	77		R22.15	467.642	37.891838	-121.282078	.239	ML	3	French Camp Turnpike				
1007610	5	N	10	77	40704	R16.101	461.593	37.806428	-121.297336	.458	ML	3	Louise Ave				
1007710	5	S	10	77	40704	R16.101	461.593	37.806523	-121.297657	.31	ML	3	Louise Ave				
1007810	5	N	10	99		16.2	433.702	37.467554	-121.183979	5	ML	2	Sperry Ave				
1007910	5	S	10	99		16.2	433.637	37.467399	-121.184334	5	ML	2	Sperry Ave				
1008010	99	N	10	47	46898	16.4	189.746	37.307792	-120.509676	1.161	ML	2	Jct Rte 140 West, Rte 59 North				
1008110	99	S	10	47	46898	16.4	189.721	37.307683	-120.509875	.554	ML	2	Jct Rte 140 West, Rte 59 North				
1008210	152	E	10	47		R40.5	88.348	37.080062	-120.501085	2.591	ML	2	Red Top Rd				
1008310	152	W	10	47		R40.5	88.348	37.08041	-120.501045	2.659	ML	2	Red Top Rd				
1008410	33	N	10	47		R13.3	241.302	37.057837	-121.016395	5	CH	1	Jct Rte 152				
1008510	33	S	10	47		R13.3	241.362	37.058705	-121.016386	5	CH	1	Jct Rte 152				
1008810	152	E	10	47		R13.09	59.025	37.056764	-121.019117	3.617	ML	2	W/O Rte 33				
1008910	152	W	10	47		R13.09	59.025	37.056913	-121.019102	3.617	ML	2	W/O Rte 33				
1009010	152	E	10	47		13.35	61.259	37.056596	-120.978677	3.617	ML	2	E/O Rte 33				
1009110	152	W	10	47		13.35	61.259	37.056802	-120.978675	3.617	ML	2	E/O Rte 33				
1009210	5	N	10	77		4	449.492	37.645838	-121.342906	4.325	ML	2	Jct Rte 132				
1009310	5	S	10	77		4	449.492	37.645837	-121.343319	4.344	ML	2	Jct Rte 132				
1009410	120	E	10	99		7.2	28.578	37.776398	-120.811513	5	CH	1	Deo Gloria Rd				
1009510	120	W	10	99		7.2	28.578	37.776398	-120.811513	5	CH	1	Deo Gloria Rd				
1009610	120	E	10	77		21.18	21.374	37.793593	-120.92346	2.526	CH	1	SJ STA County Line				
1009710	120	W	10	77		21.18	21.374	37.793593	-120.923454	2.526	CH	1	SJ STA County Line				
1009810	4	E	10	77		14.045	62.267	37.927495	-121.332464	3.698	CH	1	Roberts Island Rd				
1009910	4	W	10	77		14.045	62.267	37.927495	-121.332465	3.698	CH	1	Roberts Island Rd				
1010010	205	E	10	77	80238	R8.51	9.44	37.764716	-121.407831	.778	ML	3	MacArthur Dr				
1010110	205	W	10	77	80238	R8.51	9.44	37.76497	-121.407815	.686	ML	3	MacArthur Dr				
1010210	49	N	10	9		6.514	87.632	38.058972	-120.535964	5	CH	1	Six Mile Creek				
1010310	49	S	10	9		6.514	87.632	38.058967	-120.535962	5	CH	1	Six Mile Creek				
1010410	120	E	10	109		11.7	51.135	37.888618	-120.494444	4.225	ML	1	Obyrnes Ferry Rd				
1010510	120	W	10	109		11.7	51.197	37.888619	-120.494438	4.225	ML	1	Obyrnes Ferry Rd				
1010610	4	E	10	77		4.52	52.782	37.890678	-121.488467	3.255	CH	1	Middle River Bridge				
1010710	4	W	10	77		4.52	52.782	37.890676	-121.488454	3.255	CH	1	Middle River Bridge				
1010810	108	E	10	109		R4.078	22.757	37.977813	-120.326436	2.597	ML	1	Sonora Bypass				
1010910	108	W	10	109		R4.078	22.672	37.977813	-120.326437	2.596	ML	1	Sonora Bypass				
1011010	99	S	10	99		9.193	220.228	37.565222	-120.927059	2.185	ML	3	S/O Mitchell Rd				
1011110	99	S	10	99		8.893	219.928	37.561944	-120.92338	.25	ML	3	S/O Mitchell Rd				
1011210	99	S	10	99		8.693	219.728	37.559768	-120.920905	.2	ML	3	N/O Faith Home Rd OC				
1011310	99	S	10	99		8.493	219.528	37.557621	-120.918309	1.956	ML	3	S/O Faith Home Rd OC				
1011410	99	N	10	99		8.593	219.653	37.55884	-120.919407	2.006	ML	3	S/O Faith Home Rd OC				
1011510	99	N	10	99		8.793	219.853	37.560982	-120.921969	.25	ML	3	N/O Faith Home Rd OC				
1011610	99	N	10	99		9.093	220.153	37.56424	-120.925675	2.235	ML	3	S/O Mitchell Rd				
1011810	26	E	10	9		32.65	51.82	38.380334	-120.533002	5	CH	1	Glencoe, Associated Office Rd				
1011910	26	W	10	9		32.65	51.82	38.380333	-120.533004	5	CH	1	Glencoe, Associated Office Rd				
1012010	49	N	10	5		2.801	114.758	38.335356	-120.756839	4.207	CH	1	Scottsville Blvd				
1012110	49	S	10	5		2.801	114.758	38.335356	-120.756839	4.207	CH	1	Scottsville Blvd				
1012210	49	N	10	5		6.214	118.171	38.368582	-120.796897	4.206	CH	1	Depot Rd				
1012310	49	S	10	5		6.214	118.171	38.368529	-120.797008	4.206	CH	1	Depot Rd				
1012410	88	E	10	77		19.174	19.221	38.197989	-121.068343	5	CH	1	Clements, Jct Rte 12				
1012510	88	W	10	77		19.174	19.221	38.197992	-121.068335	5	CH	1	Clements, Jct Rte 12				
1012610	88	E	10	77		0.421	.421	37.988561	-121.244051	2.921	CH	2	E/O Wilcox Rd				
1012710	88	W	10	77		0.421	.421	37.988524	-121.244109	2.921	CH	2	E/O Wilcox Rd				
1012810	88	E	10	5	36980	14.657	40.027	38.351003	-120.769179	5	CH	1	Jackson Creek Bridge				
1012910	88	W	10	5	36980	14.657	40.027	38.351042	-120.769093	5	CH	1	Jackson Creek Bridge				
1013010	99	N	10	47		10.773	184.119	37.263975	-120.427396	2.642	ML	2	S/O Mission Ave				
1013110	99	N	10	47		11.057	184.403	37.266891	-120.430992	.266	ML	2	S/O Mission Ave				
1013210	99	N	10	47		11.306	184.652	37.269459	-120.434139	.237	ML	2	S/O Mission Ave				
1013310	99	N	10	47		11.533	184.879	37.271835	-120.437072	.589	ML	2	S/O Mission Ave				
1013410	205	E	10	77		1.3	2.23	37.742473	-121.532681	.061	ML	3	W/O Mtn House Pkwy OC				
1013510	205	W	10	77		1.176	2.106	37.742809	-121.534922	.276	ML	3	W/O Mtn House Pkwy OC				
1013610	99	N	10	77	61026	1.68	237.49	37.746493	-121.132889	.053	ML	3	Milgeo OC				
1013710	99	N	10	77		25	260.81	38.051297	-121.258986	.089	ML	3	N/O Morada OC				
1013810	99	N	10	77		24.996	260.806	38.051239	-121.258982	.495	ML	3	S/O Eight Mile Rd				
1013910	99	N	10	77		25.174	260.984	38.053821	-121.259173	2.05	ML	3	S/O Eight Mile Rd				
1014110	99	N	10	47		27.293	200.639	37.373765	-120.685228	.315	ML	3	N/O Sultana Dr/Liberty Ave On Ra				
1014210	99	N	10	47		27.548	200.894	37.375304	-120.689426	.757	ML	3	N/O Sultana Dr/Liberty Ave OC				
1014310	99	N	10	77		24.01	259.82	38.036925	-121.258235	1.077	ML	3	Morada Lane				
1014410	99	S	10	77		24.01	259.795	38.036919	-121.258444	2.088	ML	3	Morada Lane				
1014510	205	E	10	77		0.761	1.691	37.743084	-121.542411	1.058	ML	3	W/O Mtn House Pkwy OC				
1014610	205	W	10	77		0.761	1.691	37.743285	-121.542413	.998	ML	3	W/O Mtn House Pkwy OC				
1014710	99	N	10	47		26.918	200.264	37.371533	-120.679136	.966	ML	3	S/O Sultana Dr/Liberty Ave OC				
1014810	99	S	10	77		17.139	252.924	37.940096	-121.234878	1.455	ML	2	Farmington Rd On Ramp				
1014910	99	S	10	77		17.198	252.983	37.940941	-121.234979	.985	ML	2	N/O Farmington Rd Off Ramp				
1015010	5	N	10	99		27.401	444.903	37.584557	-121.325066	2.629	ML	2	Westley Rest Area				
1015110	5	N	10	99		27.659	445.161	37.587161	-121.328443	.252	ML	2	Westley Rest Area				
1015210	5	N	10	99		27.906	445.408	37.58965	-121.331681	.315	ML	3	Westley Rest Area				
1015310	5	N	10	77		R0.105	445.662	37.592193	-121.33503	.152	ML	4	Westley Rest Area				
1015410	104	E	10	5		R2.416	20.104	38.379155	-120.985787	2.526	ML	1	W/O Michigan Bar Rd				
1015510	104	W	10	5		R2.416	20.104	38.379155	-120.985787	2.526	ML	1	W/O Michigan Bar Rd				
1015810	5	N	10	77		R12.646	458.138	37.767234	-121.331393	2.59	ML	3	S/O Jct Rte EB 205				
1015910	5	N	10	77		R12.827	458.319	37.768979	-121.328985	.242	ML	3	S/O Jct Rte EB 205				
1016010	5	N	10	77	40704	R13.132	458.624	37.77193	-121.324925	.253	ML	3	S/O Jct Rte EB 205				
1016110	5	N	10	77	40704	R13.334	458.826	37.773929	-121.322227	.446	ML	5	Jct Rte EB 205				
1016210	99	S	10	47	46898	12.35	185.671	37.280321	-120.447731	.187	ML	2	S/O Gerard Ave				
1016310	99	S	10	47	46898	12.109	185.43	37.277804	-120.444621	.241	ML	2	S/O Gerard Ave				
1016410	99	S	10	47	46898	11.867	185.188	37.27527	-120.441506	.243	ML	2	N/O Mission Ave				
1016510	99	S	10	47		11.623	184.944	37.27271	-120.438358	2.622	ML	2	S/O Mission Ave				
1016610	5	N	10	77	75000	25.002	470.494	37.931658	-121.296063	.612	ML	4	S/O Charter Way				
1016710	5	S	10	77	75000	25.002	470.494	37.93162	-121.296383	.355	ML	4	S/O Charter Way				
1016810	99	N	10	47	46898	12.484	185.83	37.281764	-120.44929	.712	ML	2	N/O Gerard Ave				
1016910	99	S	10	47	46898	12.484	185.805	37.281725	-120.449449	.274	ML	2	N/O Gerard Ave				
1017110	99	S	10	77		27.049	262.834	38.080372	-121.260018	1.17	ML	3	S/O Armstrong Rd OC				
1017210	99	S	10	77		26.761	262.546	38.076309	-121.259947	.254	ML	3	S/O Armstrong Rd OC				
1017310	99	S	10	77		26.541	262.326	38.073206	-121.259888	.242	ML	3	S/O Armstrong Rd OC				
1017410	99	S	10	77		26.276	262.061	38.069467	-121.259826	1.265	ML	3	S/O Armstrong Rd OC				
1017510	99	N	10	77		19.603	255.413	37.97425	-121.247481	2.633	ML	3	N/O Fremont St				
1017610	99	N	10	77		19.868	255.678	37.9779	-121.249019	.273	ML	3	S/O Waterloo Rd				
1017710	99	N	10	77		20.149	255.959	37.981893	-121.24988	.264	ML	3	S/O Waterloo Rd				
1017810	99	N	10	77		20.397	256.207	37.985485	-121.250115	.228	ML	3	N/O Waterloo Rd				
1017910	99	N	10	77		20.605	256.415	37.988395	-121.251098	.203	ML	3	N/O Waterloo Rd				
1018010	99	S	10	77		19.603	255.388	37.974213	-121.247705	.371	ML	3	N/O Fremont St				
1018110	99	N	10	77		20.802	256.612	37.991123	-121.252177	.274	ML	3	S/O Off Ramp to Cherokee Rd				
1018210	99	N	10	77		21.153	256.963	37.995979	-121.254114	.275	ML	3	N/O On Ramp from Cherokee Rd				
1018310	99	N	10	77		21.353	257.163	37.99874	-121.255236	.229	ML	3	S/O Wilson Way OC				
1018410	99	N	10	77		21.611	257.421	38.002305	-121.256672	.246	ML	3	S/O Wilson Way OC				
1018510	99	N	10	77		21.846	257.656	38.00561	-121.257648	.237	ML	4	N/O Off Ramp to Wilson Way				
1018610	99	N	10	77		22.086	257.896	38.009077	-121.257808	.258	ML	4	N/O Off Ramp to Wilson Way				
1018710	99	N	10	77		22.361	258.171	38.013056	-121.257864	.256	ML	4	S/O On Ramp from Hammer Lane				
1018810	99	N	10	77		22.599	258.409	38.016499	-121.257921	.24	ML	4	S/O On Ramp from  Hammer Lane				
1018910	99	N	10	77		22.842	258.652	38.020014	-121.258003	.705	ML	3	S/O Off Ramp to Hammer Lane				
1019110	99	S	10	77		22.099	257.884	38.009194	-121.258034	1.077	ML	4	S/O Hammer Lane OC				
1019210	99	S	10	77		21.856	257.641	38.00566	-121.25799	.244	ML	4	S/O Calaveras River OC				
1019310	99	S	10	77		21.611	257.396	38.002234	-121.257034	.252	ML	3	S/O Wilson Way OC				
1019410	99	S	10	77		21.353	257.138	37.998705	-121.255438	.237	ML	3	S/O Wilson Way OC				
1019510	99	S	10	77		21.137	256.922	37.995711	-121.254244	.252	ML	3	N/O Cherokee Rd OC				
1019610	99	S	10	77		20.849	256.634	37.991719	-121.252669	.267	ML	3	S/O Cherokee Rd OC				
1019710	99	S	10	77		20.603	256.388	37.988336	-121.251314	.228	ML	3	S/O On Ramp from Cherokee Rd				
1019810	99	S	10	77		20.392	256.177	37.9854	-121.250346	.242	ML	3	 S/O Off Ramp to Waterloo Rd/Rte				
1019910	99	S	10	77		20.107	255.892	37.981269	-121.250083	.259	ML	3	 S/O On Ramp from EB Waterloo Rd				
1020010	99	S	10	77		19.365	255.15	37.970928	-121.246316	.246	ML	3	 S/O On Ramp from WB Fremont St/				
1020110	99	S	10	77		19.11	254.895	37.967421	-121.244816	1.084	ML	3	 S/O On Ramp from EB Fremont St/				
1020210	108	E	10	109	48354	R0.00	18.679	37.955341	-120.406001	2.118	CH	1	Sonora, Jct Rte 49				
1020310	108	W	10	109	48354	R0.00	18.594	37.96235	-120.3974	4.539	CH	1	Sonora, Jct Rte 49				
1020410	5	N	10	77	40704	R16.623	462.115	37.813743	-121.294773	.556	ML	3	 N/O Louise Ave UC				
1020510	5	N	10	77	40704	R17.213	462.705	37.821909	-121.291616	.7	ML	3	 S/O Lathrop Rd				
1020610	5	N	10	77	40704	R18.023	463.515	37.833157	-121.287308	.847	ML	3	 N/O Lathrop Rd On Ramp				
1020710	5	N	10	77	40704	R18.906	464.398	37.845724	-121.284274	.74	ML	3	 N/O Lathrop Rd On Ramp				
1020810	5	N	10	77	40704	R19.504	464.996	37.854238	-121.28223	.93	ML	3	 S/O Roth Rd UC				
1020910	5	N	10	77		R20.766	466.258	37.872205	-121.277539	.863	ML	3	 S/O Eldorado Off Ramp				
1021010	5	N	10	77		R21.23	466.722	37.878898	-121.278247	.356	ML	3	 S/O Mathews Rd				
1021110	5	N	10	77		R21.477	466.969	37.882448	-121.278728	.803	ML	3	Mathews Rd OC in Median				
1021210	5	N	10	77		R22.837	468.329	37.90147	-121.285208	1.15	ML	3	N/O French Camp OC				
1021310	5	N	10	77		R23.777	469.269	37.914546	-121.289927	.632	ML	3	 N/O French Camp Slough				
1021410	5	N	10	77	75000	24.101	469.593	37.919077	-121.29157	.487	ML	3	N/O Downing Ave UC				
1021510	5	N	10	77	75000	24.75	470.242	37.928153	-121.294818	.45	ML	3	 N/O Eighth St UC				
1021710	5	N	10	77	75000	25.974	471.466	37.945536	-121.299006	.486	ML	4	 Church St UC				
1021810	5	N	10	77	75000	26.471	471.963	37.950998	-121.304377	.497	ML	4	 Stockton Channel Viaduct				
1021910	5	N	10	77	75000	27.7	473.192	37.956396	-121.325408	.481	ML	4	  Carolton Ave UC				
1022010	5	N	10	77	75000	27.931	473.423	37.957353	-121.329364	.331	ML	4	 N/O Monte Diablo Ave UC				
1022110	5	N	10	77	75000	28.364	473.856	37.961967	-121.334253	.984	ML	3	 N/O Smith Canal Bridge				
1022210	5	N	10	77		29.9	475.392	37.983166	-121.342651	1.313	ML	3	 N/O March Lane Off Ramp				
1022310	5	N	10	77		30.99	476.482	37.998263	-121.348624	.73	ML	3	  Fourteen Mile Slough				
1022410	5	N	10	77		31.359	476.851	38.003363	-121.35067	.353	ML	3	 N/O Benjamin Holt Drive Off Ram				
1022510	5	N	10	77	75000	31.697	477.189	38.00804	-121.352521	.668	ML	3	 N/O Benjamin Holt Drive UC				
1022610	5	N	10	77	75000	32.696	478.188	38.021664	-121.358812	.664	ML	3	 Hammer Lane UC				
1022710	5	N	10	77	75000	33.472	478.964	38.032146	-121.363977	.499	ML	3	 Mosher Slough				
1022810	5	N	10	77		35.521	481.013	38.060834	-121.373415	2.768	ML	3	 N/O Eight Mile Rd On Ramp				
1023010	5	S	10	77		R21.987	467.479	37.889561	-121.281257	.371	ML	3	 S/O French Camp On Ramp				
1023110	5	S	10	77		R22.466	467.958	37.896252	-121.283677	.729	ML	3	 S/O French Camp Turnpike				
1023210	5	S	10	77		R23.607	469.099	37.912149	-121.289414	.731	ML	3	 S/O Downing Ave  UC				
1023310	5	S	10	77		R23.929	469.421	37.916636	-121.291033	.488	ML	3	 S/O Downing Ave Off Ramp				
1023410	5	S	10	77	75000	24.582	470.074	37.925764	-121.29432	.536	ML	3	 S/O Eighth Street UC				
1023510	5	S	10	77	75000	25.293	470.785	37.935727	-121.2975	.739	ML	3	 S/O Charter Way UC				
1023610	5	S	10	77	75000	26.486	471.978	37.950942	-121.304791	.244	ML	3	 Off Ramp to Rte 4/Fresno Ave				
1023710	5	S	10	77	75000	26.481	471.973	37.950905	-121.304716	.597	ML	4	Off Ramp to Rte 4				
1023810	5	S	10	77	75000	27.108	472.6	37.955509	-121.314654	.586	ML	4	 S/O Pershing Ave Off Ramp				
1023910	5	S	10	77	75000	28.142	473.634	37.959098	-121.332506	.709	ML	4	 S/O Monte Diablo Off Ramp				
1024010	5	S	10	77	75000	28.526	474.018	37.964095	-121.335438	.924	ML	3	 S/O Country Club Blvd UC				
1024110	5	S	10	77		29.989	475.481	37.98433	-121.343505	1.291	ML	3	 S/O March Lane UC				
1024210	5	S	10	77		31.108	476.6	37.99984	-121.349638	.722	ML	3	 Swain Rd UC				
1024310	5	S	10	77		31.434	476.926	38.004336	-121.351407	.484	ML	3	 S/O Benjamin Holt Drive UC				
1024410	5	S	10	77	75000	32.076	477.568	38.01317	-121.354979	.612	ML	3	 S/O Hammer Lane On Ramp				
1024510	5	S	10	77	75000	32.658	478.15	38.021065	-121.358866	.475	ML	3	 S/O Hammer Lane UC				
1024610	5	S	10	77	75000	34.498	479.99	38.046431	-121.369249	.495	ML	3	 McAuliffe Rd UC				
1024710	5	S	10	77		35.485	480.977	38.060279	-121.373568	2.757	ML	3	 Eight Mile Rd Off Ramp				
1024910	205	E	10	77		1.294	2.224	37.742479	-121.53279	.269	ML	3	E/O  Mountain House Off Ramp				
1025010	205	E	10	77		1.417	2.347	37.742332	-121.53057	.334	ML	4	 E/O Mountain House OC				
1025110	205	E	10	77		1.97	2.9	37.741706	-121.520587	.997	ML	3	 E/O Mountain House On Ramp				
1025210	205	E	10	77		R3.412	4.342	37.741279	-121.494345	1.242	ML	3	 E/O 11th Street OC				
1025310	205	E	10	77		R5.248	6.178	37.753179	-121.464959	.84	ML	3	 E/O Grant Line UC				
1025410	205	E	10	77		R6.134	7.064	37.759107	-121.450402	.859	ML	3	 E/O Corral Hollow UC				
1025510	205	E	10	77		R6.966	7.896	37.762775	-121.435992	.665	ML	3	 W/O Tracy Rd UC				
1025610	205	E	10	77	80238	R7.463	8.393	37.76281	-121.426805	.546	ML	3	 W/O Holly Drive OC				
1025710	205	E	10	77	80238	R8.058	8.988	37.763897	-121.415924	.523	ML	3	 W/O Mac Arthur Drive UC				
1025810	205	E	10	77		R9.614	10.544	37.764764	-121.387886	.982	ML	3	 Paradise Rd OC				
1025910	205	E	10	77		R10.475	11.405	37.76476	-121.371397	.808	ML	3	 Maple Ave UC				
1026010	205	E	10	77		R11.231	12.161	37.764797	-121.356899	.694	ML	3	 W/O Banta OH				
1026110	205	E	10	77		R11.864	12.794	37.765737	-121.34483	.354	ML	3	 E/O Tom Paine Slough				
1026210	205	E	10	77		R13.045	13.975	37.771345	-121.32439	.633	ML	3	 E/O Paradise Cut Bridge				
1026310	205	W	10	77		1.315	2.245	37.742656	-121.532412	1.078	ML	3	 W/O Mountain House OC				
1026410	205	W	10	77		R3.332	4.262	37.741206	-121.496199	1.437	ML	3	 W/O 11st OC				
1026510	205	W	10	77		R4.19	5.12	37.746524	-121.481969	.81	ML	3	 W/O Janney OH				
1026610	205	W	10	77		R5.11	6.04	37.752705	-121.466978	.148	ML	4	 W/O Naglee Rd On Ramp				
1026710	205	W	10	77		R5.248	6.178	37.753616	-121.464719	.38	ML	4	 W/O Naglee Rd Off Ramp				
1026810	205	W	10	77		R6.543	7.473	37.762152	-121.443519	.607	ML	3	 W/O Tracy Rd On Ramp				
1026910	205	W	10	77	80238	R7.085	8.015	37.763077	-121.433703	.499	ML	3	 W/O Tracy Rd Off Ramp				
1027010	205	W	10	77	80238	R7.625	8.555	37.763131	-121.423783	.336	ML	3	 W/O Mac Arthur Drive On Ramp				
1027110	205	W	10	77	80238	R8.214	9.144	37.764604	-121.413149	.442	ML	3	 Mac Arthur Drive Off Ramp				
1027210	205	W	10	77		R9.586	10.516	37.765027	-121.388314	1.027	ML	3	 Paradise Rd OC				
1027310	205	W	10	77		R10.563	11.493	37.765069	-121.372293	1.304	ML	3	 Maple Ave UC				
